old_url,new_url,slug,title,meta_title_status,meta_description,meta_description_status,lastmod,redirect_required,notes,migration_status
https://ajitashah.com/creating-a-new-story-for-your-life/,https://ajitashah.com/creating-a-new-story-for-your-life/,creating-a-new-story-for-your-life,Creating a New Story for your Life,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-20T10:31:42+00:00,NO - slug preserved,,pending
https://ajitashah.com/why-love-must-be-selfish/,https://ajitashah.com/why-love-must-be-selfish/,why-love-must-be-selfish,Why Love must be Selfish,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T10:21:43+00:00,NO - slug preserved,,pending
https://ajitashah.com/is-your-ego-driving-your-life/,https://ajitashah.com/is-your-ego-driving-your-life/,is-your-ego-driving-your-life,Is your Ego driving your life?,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T10:21:54+00:00,NO - slug preserved,,pending
https://ajitashah.com/how-our-past-affects-our-ability-to-parent-now/,https://ajitashah.com/how-our-past-affects-our-ability-to-parent-now/,how-our-past-affects-our-ability-to-parent-now,How our past affects our ability to Parent now,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T10:23:21+00:00,NO - slug preserved,,pending
https://ajitashah.com/why-are-relationships-so-hard/,https://ajitashah.com/why-are-relationships-so-hard/,why-are-relationships-so-hard,Why are Relationships so hard?,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T10:24:28+00:00,NO - slug preserved,,pending
https://ajitashah.com/self-reflection/,https://ajitashah.com/self-reflection/,self-reflection,Self-Reflection,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T10:26:34+00:00,NO - slug preserved,,pending
https://ajitashah.com/impact-of-status-quo-bias-affects-your-decisions/,https://ajitashah.com/impact-of-status-quo-bias-affects-your-decisions/,impact-of-status-quo-bias-affects-your-decisions,Impact of Status Quo Bias Affects Your Decisions,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T10:30:13+00:00,NO - slug preserved,,pending
https://ajitashah.com/therapeutic-effects-of-soma-breath/,https://ajitashah.com/therapeutic-effects-of-soma-breath/,therapeutic-effects-of-soma-breath,Therapeutic effects of SOMA Breath,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T10:48:07+00:00,NO - slug preserved,,pending
https://ajitashah.com/how-spiritual-cleansing-can-overcome-your-problems/,https://ajitashah.com/how-spiritual-cleansing-can-overcome-your-problems/,how-spiritual-cleansing-can-overcome-your-problems,How Spiritual Cleansing can Overcome your Problems,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T11:14:56+00:00,NO - slug preserved,,pending
https://ajitashah.com/limiting-beliefs-impacting-health-and-healing-category/,https://ajitashah.com/limiting-beliefs-impacting-health-and-healing-category/,limiting-beliefs-impacting-health-and-healing-category,Limiting Beliefs Impacting Health and Healing Category,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T11:16:00+00:00,NO - slug preserved,"Slug contains the word ""category"" - likely an authoring error. Verify before changing.",pending
https://ajitashah.com/science-of-spirituality/,https://ajitashah.com/science-of-spirituality/,science-of-spirituality,Science of Spirituality,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T11:25:59+00:00,NO - slug preserved,,pending
https://ajitashah.com/how-to-unlock-the-power-of-the-subconscious-mind/,https://ajitashah.com/how-to-unlock-the-power-of-the-subconscious-mind/,how-to-unlock-the-power-of-the-subconscious-mind,How to Unlock the Power of the Subconscious Mind,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T11:27:22+00:00,NO - slug preserved,,pending
https://ajitashah.com/how-to-gauge-energy-from-people/,https://ajitashah.com/how-to-gauge-energy-from-people/,how-to-gauge-energy-from-people,How to Gauge Energy from People,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T11:29:35+00:00,NO - slug preserved,,pending
https://ajitashah.com/manifest-your-dream-life-now/,https://ajitashah.com/manifest-your-dream-life-now/,manifest-your-dream-life-now,Manifest Your Dream Life Now,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T11:31:11+00:00,NO - slug preserved,,pending
https://ajitashah.com/are-you-hiding-the-truth-of-your-life/,https://ajitashah.com/are-you-hiding-the-truth-of-your-life/,are-you-hiding-the-truth-of-your-life,Are You Hiding the Truth of Your Life?,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T11:33:30+00:00,NO - slug preserved,,pending
https://ajitashah.com/learning-how-to-stop-taking-things-personally/,https://ajitashah.com/learning-how-to-stop-taking-things-personally/,learning-how-to-stop-taking-things-personally,Learning How to Stop Taking Things Personally,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T11:34:36+00:00,NO - slug preserved,,pending
https://ajitashah.com/spiritual-work-proves-a-better-life-today-and-afterlife/,https://ajitashah.com/spiritual-work-proves-a-better-life-today-and-afterlife/,spiritual-work-proves-a-better-life-today-and-afterlife,Spiritual Work Proves a Better Life Today and Afterlife,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T11:39:56+00:00,NO - slug preserved,,pending
https://ajitashah.com/letting-go-its-not-a-passive-act/,https://ajitashah.com/letting-go-its-not-a-passive-act/,letting-go-its-not-a-passive-act,Letting Go: It’s Not a Passive Act,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T11:41:25+00:00,NO - slug preserved,,pending
https://ajitashah.com/developing-your-intuition-your-inner-guide-to-life/,https://ajitashah.com/developing-your-intuition-your-inner-guide-to-life/,developing-your-intuition-your-inner-guide-to-life,Developing Your Intuition: Your Inner Guide to Life,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T11:44:42+00:00,NO - slug preserved,,pending
https://ajitashah.com/ai-is-rising-fast-but-heres-the-real-risk-no-one-is-talking-about/,https://ajitashah.com/ai-is-rising-fast-but-heres-the-real-risk-no-one-is-talking-about/,ai-is-rising-fast-but-heres-the-real-risk-no-one-is-talking-about,AI Is Rising Fast… But Here’s the Real Risk No One Is Talking About,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2026-04-28T15:14:10+00:00,NO - slug preserved,,pending
